UserId,ExperimentCondition,ExperimentIteration,level,ZombieKills,neutral,happy,sad,angry,fearful,disgusted,surprised,timesliceStart,timesliceEnd,Adaptation name,Adaptation time,timesliceStart_date,timesliceStart_time,timesliceEnd_date,timesliceEnd_time
1,Baseline-NoAdaptation,1,4,27,0.79564,0.03863,0.00657,0.00044,0.00669,0.15,0.00203,"01/10/2026, 1:24:47 PM","01/10/2026, 1:24:48 PM",No.adaptation,,01/10/2026,1:24:47 PM,01/10/2026,1:24:48 PM
1,Baseline-NoAdaptation,1,4,27,0.80676,0.03589,0.00664,0.00069,1e-05,0.15,1e-05,"01/10/2026, 1:24:48 PM","01/10/2026, 1:24:49 PM",No.adaptation,,01/10/2026,1:24:48 PM,01/10/2026,1:24:49 PM
1,Baseline-NoAdaptation,1,4,27,0.81172,0.03647,0.00178,1e-05,1e-05,0.15,1e-05,"01/10/2026, 1:24:49 PM","01/10/2026, 1:24:50 PM",No.adaptation,,01/10/2026,1:24:49 PM,01/10/2026,1:24:50 PM
1,Baseline-NoAdaptation,1,4,27,0.78046,0.0382,0.01584,0.00782,0.00707,0.14404,0.00657,"01/10/2026, 1:24:50 PM","01/10/2026, 1:24:51 PM",No.adaptation,,01/10/2026,1:24:50 PM,01/10/2026,1:24:51 PM
1,Baseline-NoAdaptation,1,4,27,0.78553,0.03861,0.01593,0.00817,1e-05,0.13914,0.01261,"01/10/2026, 1:24:51 PM","01/10/2026, 1:24:52 PM",No.adaptation,,01/10/2026,1:24:51 PM,01/10/2026,1:24:52 PM
1,Baseline-NoAdaptation,1,4,27,0.79177,0.0342,0.01134,0.00335,0.00586,0.1456,0.00788,"01/10/2026, 1:24:52 PM","01/10/2026, 1:24:53 PM",No.adaptation,,01/10/2026,1:24:52 PM,01/10/2026,1:24:53 PM
1,Baseline-NoAdaptation,1,4,27,0.77542,0.03203,0.01195,0.01413,0.01624,0.1402,0.01003,"01/10/2026, 1:24:53 PM","01/10/2026, 1:24:54 PM",No.adaptation,,01/10/2026,1:24:53 PM,01/10/2026,1:24:54 PM
1,Baseline-NoAdaptation,1,4,27,0.77641,0.02989,0.02119,0.01537,0.01817,0.13301,0.00596,"01/10/2026, 1:24:54 PM","01/10/2026, 1:24:55 PM",No.adaptation,,01/10/2026,1:24:54 PM,01/10/2026,1:24:55 PM
1,Baseline-NoAdaptation,1,4,27,0.76174,0.02561,0.02877,0.01707,0.02523,0.13577,0.00581,"01/10/2026, 1:24:55 PM","01/10/2026, 1:24:57 PM",No.adaptation,,01/10/2026,1:24:55 PM,01/10/2026,1:24:57 PM
1,Baseline-NoAdaptation,1,4,27,0.75919,0.02608,0.03294,0.02271,0.01479,0.13529,0.009,"01/10/2026, 1:24:57 PM","01/10/2026, 1:24:58 PM",No.adaptation,,01/10/2026,1:24:57 PM,01/10/2026,1:24:58 PM
1,Baseline-NoAdaptation,1,4,27,0.74995,0.03683,0.03636,0.02356,0.01481,0.13417,0.00432,"01/10/2026, 1:24:58 PM","01/10/2026, 1:24:59 PM",No.adaptation,,01/10/2026,1:24:58 PM,01/10/2026,1:24:59 PM
1,Baseline-NoAdaptation,1,4,27,0.73775,0.03803,0.0427,0.02586,0.02101,0.12633,0.00832,"01/10/2026, 1:24:59 PM","01/10/2026, 1:25:00 PM",No.adaptation,,01/10/2026,1:24:59 PM,01/10/2026,1:25:00 PM
1,Baseline-NoAdaptation,1,4,27,0.74516,0.03373,0.04108,0.03373,0.02069,0.12418,0.00143,"01/10/2026, 1:25:00 PM","01/10/2026, 1:25:01 PM",No.adaptation,,01/10/2026,1:25:00 PM,01/10/2026,1:25:01 PM
1,Baseline-NoAdaptation,1,4,27,0.73588,0.03764,0.04478,0.03895,0.02141,0.12133,1e-05,"01/10/2026, 1:25:01 PM","01/10/2026, 1:25:02 PM",No.adaptation,,01/10/2026,1:25:01 PM,01/10/2026,1:25:02 PM
1,Baseline-NoAdaptation,1,4,27,0.7422,0.03535,0.04216,0.03712,0.01968,0.12115,0.00234,"01/10/2026, 1:25:02 PM","01/10/2026, 1:25:03 PM",No.adaptation,,01/10/2026,1:25:02 PM,01/10/2026,1:25:03 PM
1,Baseline-NoAdaptation,1,4,27,0.75802,0.02462,0.04497,0.02807,0.0193,0.12366,0.00136,"01/10/2026, 1:25:03 PM","01/10/2026, 1:25:04 PM",No.adaptation,,01/10/2026,1:25:03 PM,01/10/2026,1:25:04 PM
1,Baseline-NoAdaptation,1,4,27,0.75937,0.02323,0.04876,0.03089,0.02223,0.11463,0.00089,"01/10/2026, 1:25:04 PM","01/10/2026, 1:25:05 PM",No.adaptation,,01/10/2026,1:25:04 PM,01/10/2026,1:25:05 PM
1,Baseline-NoAdaptation,1,4,27,0.74047,0.02279,0.04755,0.03621,0.02869,0.1143,0.00999,"01/10/2026, 1:25:05 PM","01/10/2026, 1:25:06 PM",No.adaptation,,01/10/2026,1:25:05 PM,01/10/2026,1:25:06 PM
1,Baseline-NoAdaptation,1,4,27,0.74424,0.01747,0.04087,0.03257,0.03349,0.11356,0.0178,"01/10/2026, 1:25:06 PM","01/10/2026, 1:25:08 PM",No.adaptation,,01/10/2026,1:25:06 PM,01/10/2026,1:25:08 PM
